filename,audio_only_prediction,video_only_prediction,audio_video_prediction
durchaus_0195-0426,Sie funktioniert ganz gut.,Was macht man mal?,Das war hier genen.
durchaus_0082-0286,Haus ist es durchgewöhn.,Vielen Dank.,Aucht es durchgewöhnlich ausgewöhn.
durchaus_0254-0479,Für uns gewinnt.,Vielen Dank.,Für uns gesetzt?
durchaus_0247-0465,"""Ganz sie vertragt, das ist schlücht.""",Vielen Dank.,Das ist der Vertragt durch einem Fange.
durchaus_0285-0524,Du fühlt sich aus ihnen lernen.,(Applaus),Man hört auch aus ihnen lernen.
durchaus_0254-0480,Der Kalt ja durch möglich.,Zehne sind hoch.,Der Kal ist ja durch möglich.
durchaus_0282-0519,Es gibt auch einen Jaanische Rollen.,(Applaus),Es gibt auch einen Zobische.
durch_0027-0856,Damit will ich uns.,Habel geht'ver zu sein.,Damit habe auch durch uns.
durch_0031-0886,Aber durch die Ende.,Later haben wir noch nicht nach Rentrecht.,Aber durch die Ende auf die Ende.
durch_0050-0965,Aus eine Karlsruhua.,Vielen Dank.,Aus eine Karls.
durch_0056-1015,Danke schön durch die Decke.,Das ist ungefähr im Kut.,Danke durch die Denke durchdrinkel.
durch_0095-1222,Das ist der Stür.,Das war einfach gelohnt.,Das ist durch die Komm.
durch_0074-1110,Sinde sind die grift.,Vielen Danke Menschen mit diesem Woch?,Sinddeminivinivendig.
durch_0093-1212,Und das ist?,"""Also wunde Menschen, rund einem sein nicht gelebt.""",Und das wunder mehr.
durch_0082-1141,Das ist ein die Potenz.,Die fach rund zu einem Produkten Projektialen,Das feißt durch die Potenz.
eben_0137-0002,Sondern eben auch.,"""Also, so sind brauk.""",Sondern auch.
durch_0105-1272,Ich Uhrig!,"""Schone Menschen, oder baltorder.""",Sie Uhr-Bos?
durch_0096-1235,"""So wand ihr ihr ganz fest.""","""Die sind auch ernehmerzen, dass man nicht ändert","""So wand er sich ganz fest."""""""
eben_0137-0009,(Lachen) Glimmer.,(Applaus),Also 'n wir nur mal.
eben_0140-0018,Auch der Runde.,Vielen Dank.,Auch im Bau.
eben_0157-0071,Das kann eben passiert.,Keine Liebel.,Das kann eben passiert.
eben_0147-0044,Dieses Leben auch.,Das ist im Hochobruch.,Dieses Leben auch.
eben_0173-0101,Aber nehmen können Sie richtigpunkt.,Wir nun hatten sich den Boldenden.,Es kommt also das Pruch.
eben_0178-0115,Mit hat eben gesagt?,(Applaus),Jetzt hat eben gesagt.
eben_0178-0113,Wir haben eben wieder die Ede.,"""Ja, wir haben wir das, weil sie auch nicht.""",Wir haben eben wieder die.
eben_0182-0124,Dann gehen es die Höbchen.,Was ist ganz gut.,Dann gehen es möglich.
eben_0198-0188,Das ist eben nicht.,Das Nachst generben.,Das ist eben nicht.
eher_0143-0012,Und so mehr?,"""But, so normal.""",Und so mehr haben.
eher_0000-0718,Alles ist schlimme.,(Applaus),Alles ist schlimme.
eher_0213-0073,Doch regelen hier die Regel?,(Applaus),Doch kriegen hier die Regel?
eher_0267-0109,Geschichte ist vielleicht ein.,(Applaus),Geschichte erfichte vielleicht einen.
eher_0264-0106,"""Er ist winter, schwer.""",(Applaus),"""Das sagt, werMper."""
eher_0223-0085,Vielleicht ist vielleicht eher schon.,Das ist der Zulben und den Temen: Teiden.,Das ist vielleicht eher von euch.
eher_0230-0092,"""Sie schafft ihr, ihr schaden so.""",Das sind ungefähren in die Händenebeziednung.,"""Sie ist die auch, der schaden zu."""
eher_0294-0132,"""Er, ganz eherheit von Rott.""",Das ist ungefähr im Hruppen.,"""Dann, eherheiten Luft."""
eher_0281-0118,Sieben regt von dagrietischen.,Diese Dinge ist die Ohlenhysim im grüne,Legen irgendwozwischen 3.
eher_0297-0133,Was reagalache.,Ziehen Sie nicht heiden sich alle ein.,Was reag die Erreiche.
eigenen_0001-1251,Das sind die eigenen Problem.,Er habe man einenigen Punkten Punkt einen Moment.,Komsch: die eigenen Problem.
eigenen_0001-1250,Riemittanntimmer in eigenen Fachtile.,Was nun hatten wir einen eigenen?,Das hat mit den eigenen Fach.
eigenen_0015-1267,Was sind denn eigenen eigenen.,Vielen Dank.,Was ist den eigenen Ihr?
eigenen_0027-0181,"""B. Blikum werden, weil wir eigentlich gesetzen.""",(Applaus),"""W. Banitt in Iigen eigenen gesetzen."""""""
eigenen_0040-0191,Der eigenen Ihre in der eigenen Grenten.,"""Ja, krieglich nach dem Kleinkreiskreikingen",Das halte eigenen Grennt.
eigenen_0057-0231,Alle die Augen.,Alles ist einige brauen.,Wir sind Ihr-Boule.
eigenen_0040-0196,Bei der eigenen Dimmokra.,Eine 3 Wundern.,Ein der eigenen Bümmel.
eigenen_0117-0297,Ihre eigene eigenen.,(Applaus),Ihre eigene eigenen.
eigenen_0104-0269,Wir sind eine eigenen Faktzum.,(Applaus),Mit einer eigenen dazu.
eigenen_0084-0249,Ich habe aus eigenen Mittel.,Habreich haben wir einige Mediund.,Ich habe aus eigene mittels.
eigentlich_0043-0475,Kelle ist eigentlich schon eigentlich.,Und die Kons Zeiden.,Das ist eigentlich diese dein.
eigentlich_0090-0600,Wir sagte 2grut 2010.,(Applaus),Wir sagte 2grut 2010.
eigentlich_0092-0614,Was ist eigentlich umsetzen.,Habürt einiges Lebens angebracht.,Was ist eigentlich umsetzen?
eigentlich_0098-0629,Das ist einige Stan.,(Applaus),Das ist doch eigentlich daran.
eigentlich_0101-0640,Das funktioniert ganz gut.,Vielen Dank.,Was haben ganz.
eigentlich_0121-0693,Der ist eigentlich.,(Applaus),Das ist eigentlich.
eigentlich_0110-0667,"""""""Was ist eigentlich schon.""""""",Was seid ihr die Hände hke?,Worten ist die eigentlich schon.
eigentlich_0127-0714,Deswegen Sie eigentlich.,Was ist eigentlicher Leute.,Desben Sie eigentlich.
eigentlich_0168-0828,Für se eigentlich die Ohr?,Das ist die Not.,Ihr könnt ihr eigentlich die Ohr?
eigentlich_0196-0921,Das ist eigentlich der grund.,Sie machen diese Dinge.,Ist eigentlich ist eigentlich der Ent.
einem_0029-1105,Somit geht's überhaupt,Außerde großen Kampholikation.,Somit mal mal auf.
einem_0066-1355,Das ist aus einem Alten.,(Applaus),Das ist aus einem Alten.
einem_0043-1203,Dreiben Sie mit einem anderen.,Denken Sie immer noch einmal.,Dreiben wir mit einem anderen Stund.
einem_0031-1117,Wir samen haben Einten ein Konsens.,(Applaus),Wir versamen haben alle einem Konsent.
einem_0043-1201,Mit sollten sie eine Weit aus?,(Lachen) Wohlwollend sein.,Man sollten wir eine Wein aus?
einem_0053-1282,Wir sind die Grunde wirklicherweise.,Und nune Morgendlichen.,Ihr Grunde möglicherweise.
einem_0091-1545,Das sind mit Sombuter.,(Applaus),Das sind Sombutter.
einem_0067-1364,Diese gucken zu einem gesetz.,(Applaus),Das suchen zu einem Gesetz.
einem_0091-1547,Hier seiten wir mit einem Rymbil.,Das war der Rot.,Ich verseiten jetzt mit einem Regierung.
einem_0098-1600,Oder: Wennt von einem Stark.,"""Also taten wir mit einem Klechten, wenn man miteinander ge",Das war ein Stardisch.
einen_0028-1786,Da nimmt man einen zweiten.,Ihr Hogen Sie mit diesem Macht.,Dann nimmt man einen zweiten.
einen_0024-1738,Das ist auch hier so ein Konstruktiv.,Was macht die Kond holen zu gründen und Zek,Das ist auch hier so ein Konstruktiv.
einen_0046-2092,Wir müssen darüber ein Diskurs bei diskurs.,Habel dürs so himmer.,Wir müssen darüber ein Diskurs.
einen_0049-2142,Eineden wollen wir einzwischenen.,Ich bin in der Winterk in der Schnitt.,B. Bet wollte waren zwischen den Zwischen Stadt.
einen_0050-2144,Auch ich eine betruckt.,(Applaus),Auch ich eine Drucke aber eine Zugangegangen.
einen_0065-2309,Das ist einigeginal.,Lasser geht das noch?,Und eingenalte.
einen_0085-2550,Wir sind zwei der zweiten Lesung.,Sie nun hatten die Glüben.,Wir Zweiten Lesum.
einen_0109-2916,Ich möchte alle drei Bereich.,( hoboterstimme auf.,"""Dann bereiche nicht auf."""""""
einen_0124-3069,"""Klar, einen Einlreiht.""","""All, eine geebreite.""",Ich war einen Einblick.
einer_0090-1968,Ihr Homent nah aus?,(Applaus),Die muss man da nach Ausend.
einer_0078-1849,(Applaus) Weiter verschieden.,Das ist ungefähr im Thema.,(Applaus) Weiter verschiebt.
einen_0138-3286,"""Benden-Bendung, deine Lösunge.""","""Das sind nur nicht nunken, können ich dann und zu tun.""",Einwendung in Lung eine.
einer_0122-2235,Bauen aus einer Hand.,Und auch nun hatten wir noch laden.,Aus ist aus einer Hand.
einer_0108-2137,Das ist Personen einer Beständ.,(Applaus) (Musik),"""B. Berter, nippen."""
einer_0128-2290,Das dritte ist mit relativ.,Wie hat mit den Glenzimmeerstellen.,Das ist mit relativ.
einer_0122-2236,"""Schöne, das ist eine andere Antwort.""",Oder die Kondianen von uns nach Up-Boat,Schönnt das eine Antwort?
einer_0137-2386,Das ist eine der Bekunden.,Ich habe man einen Belohns beigeblödhm.,Das war eine begunden.
einer_0151-2529,Dass man bei der anderen.,Also ist man die El hochung.,Dass man meine andere.
einer_0133-2345,"""Lin, da küche, des ja eine Zukunft.""",Das sind keinen Umi hoch.,Vielleicht klingt es ja eine Zukunft.
eines_0034-0535,Das ist der Woll.,Das ist ungefährsicht!,Das ist der Wohl.
eines_0037-0545,"""Er ist einige """"Gesent.""",Vielen Dank.,Einmal eines Gesetz!
einer_0151-2539,Ich sinne eine Fortlau.,"""Wir haben Sie nicht lebrücklich, die?""",Ich gibt Sie in der Fortlauf.
eines_0056-0622,Das ist rechts jedes jedes jede.,(Applaus),Rechten eine Griechen.
eines_0064-0632,Ein Ein Frage ist.,(Applaus),Woch ein Tages.
eines_0065-0637,Supa ein paar begrüberen.,Was ist der Leute?,Was ist Over allem mit Drahr.
eines_0093-0764,Auch eins.,(Echter) (Seidan.,Auch eins.
eines_0135-0925,(Lachen) Also Einzwasschock.,Das ist ganz gut.,(Lachen) Also einzuwass.
eines_0067-0645,Ihr sitzen sind eine Spermid.,"""Oban, da kann man keine Plunkreiblicken.""",Ihr sitzt eines Wetmelt.
eines_0138-0944,Auch zellen eines Bohnt.,So ist diese Wöhung?,Auch zellen eines Wohn.
eines_0138-0938,Eine Missionen eine Suganis.,(Applaus),Eine Führung eines Dogan eines Dogan.
eine_0140-0127,Über eine eigene.,"""Das sind wange an Länderen, nahe sie ihnen.""",Ich über eine eigene.
eine_0161-0813,Das ist über eine andere.,Der Leute ist wir nicht nach Rot gehen.,Wir über eine andere.
eine_0150-0451,Er hat eine Vorgisch.,(Englisch) Vielen Dank für die vollet sie auf,Er hat eine Vorgisch.
eine_0137-0043,So eine Zamen wir oft beloren.,Diese Linie das am aus einem Noten: Teufung.,So eine Art Namstandsamb wir oft gelückt.
eine_0153-0581,Die Stadt zwischen Chrkusen von einem Zwischen To,(Applaus),Die Stadt regt von einem Zwischen.
eine_0151-0496,Das heißt auch mit Krise hine.,Das ist auch für die Kruppreit geleseitet.,Das hat sich auf Krese hine.
eine_0161-0819,Also für eine äußer.,(Applaus),Also geht es eine äußer.
eine_0163-0914,"""Ich glaube, das ist eine ganze Trin.""",Vielen Dank.,"Ich glaube, das ist eine ganz Zentuft."
eine_0167-1031,Das ist noch einmal eine Parlichlich.,Also nen die Hände hoch.,Das ist einmal eine ormisch!
eine_0172-1161,So eine tollehblua erkanen.,Oder note sie einen großeroten oder die Rote Rot,So eine tolle gut eine gut.
einfach_0026-0410,Das ist einfach nur ihn.,Das ist ganz einfach nur nicht.,Das einfach nur ihn.
einfach_0027-0413,Ganz einfach ganz einfach.,Das ist mein Not-Wootwen.,Ganz einfach gut.
einfach_0080-0523,Da war einfach in der einfach.,(Applaus),Das war einfach in einer einfach.
einfach_0067-0510,Das ist einfach nicht geschaffen.,Was erkennen die einfach?,Der erstechte nicht geschimmt.
einfach_0102-0580,Das sind einfach keine.,B. gegen Sie an den grunden.,Das sind mieten einfach keine Külen.
einfach_0103-0589,"""Die ist einfach gegänn, die es einfach gibt.""",Das ist der Hankorbt in Rot.,Die ist einfach gibt es.
einfach_0103-0590,Glimit einfach nicht was.,(Applaus),Das war einfach nicht was.
einfach_0145-0701,Batte ist dann einfach im Land.,(Applaus),Das ist dann einfach im Land.
einfach_0152-0720,Das ist einfach nach Beispiel.,So suchen wir noch noch.,Das ist einfach nochmal.
einfach_0153-0721,Die war tage einfach mal.,(Applaus),Die war tage einfach mal.
einige_0013-1137,Das ist einige Tol.,(Applaus),Das ist einige Schule.
einige_0010-1135,Das war sahl ein Jahr dabei.,Woll rieht man lecht an?,Das war magan in einigen Jahr.
einige_0074-0191,"""Tron einige Redner.""","""Ich bin nicht, dass es nicht unbedingt.""","""""""Ton einige Redner."""""""
einige_0079-0781,Wen Karman Parkanz].,"""Nein, Gelbant sich.""",Darmal war man Paarkanzt.
einige_0091-0206,"""Er ist übrigens einiges tun.""""""",(Applaus),Der Vunde war ja einiges Schuld.
einige_0113-0237,Ich habe nur einigekrund.,Auch ändergendwolding.,Nur einige Grund.
einige_0091-0207,"""Kartt da einzugehen.""""""","""Das ist einige Dinge, in die es änderende Behälten.""",Ich war seit einzugehen.
einige_0151-0273,Ein sind kleine Tonken.,Das erken Sie einen kleinen Treibiete.,Es war keiner Teil von uns.
einige_0124-0240,"""(Englisch) """"Emiger, einiger Dä",(Applaus),"""(Englisch) """"Emiger, einiger Dä"
einige_0176-0303,"""Ehnglisch) """"Ja ist ja Ja"""".""""""",Das ist ganz gut.,"""Ehn, einige, Ja!"""
einmal_0049-2213,Wie wir mald gemeint.,Er sind nun einem Jahr dabei?,Die wir mal gemeint.
einmal_0030-1899,Aber ich nahmten die Ontusch.,Das sind also die Nühe umschnitt.,"""Wir waren auch hier im Grund im Obschad."""""""
einmal_0106-2853,Für jetzt mal gleich.,(Applaus),Das will jetzt mal vielleicht.
einmal_0086-2552,Oder auch mal der Schließung.,Und die Komrikung mit einer Obrivat.,Oder auch mal der Schlussum.
einmal_0086-2568,Sie hätten mal nochmal.,Ich sind der Neumal lebt.,Wir hätten nochmal beloren.
einmal_0137-3274,"""Sie ist so sagen, einfach mal.""",Das ist keine Leute nicht mehr?,Das ist so sagen einfach mal.
einmal_0096-2696,"""Flopfern Sie mich, lässt du ausreht",Wommern Sie mal berostet.,Doch werden Sie mal aussehen aussehen.
einmal_0147-3412,Das ist normal so.,Der Hunde Menschen begoten und Not.,Das ist normal so.
einmal_0152-3487,Deskürt man besser in.,"""Sch schön, so normal.""",Die fund auf mal besser in.
einmal_0152-3498,"""Ich verbrochen, nochmal.""",Haben wir noch ein paar Land.,"""Ich ver etwas nochmal etwas etwas."""""""
eltern_0024-0236,Die Eltern haben die Eltern.,Sie sind rennt: Wolken Sie die Wolken?,Die Eltern wollen die Eltern wollen.
eltern_0082-0272,Der Funfte Eltern einen Upf.,Vielen Danke Teken Vielen Dank für die -Fü,"""Kunfte Eltern an einen Umfahr."""
eltern_0106-0323,Ergenschaft.,Kenn Danke schön.,Die Eldernschaft.
eltern_0084-0300,All der Umfrage in der grüß.,Hab: Und zum Kontakens?,Beißte Umfrage die größ.
eltern_0179-1051,Das ist der Eltern.,"""Das ist winut euch nicht, ohne uns unter hat.""",Das ist der Eltern.
eltern_0106-0334,Das ist mittlerweile eine Schülle.,(Applaus) Wenn du nicht so ein Obrücke.,Das ist mittlerweile eine Schülle.
eltern_0215-0378,Die Eltern getan.,Was ist diese Dinge?,Die Eltern getan.
eltern_0227-0394,Und All älter.,Vielen Dank.,Und nicht älter.
eltern_0228-0395,(Applaus),All nun!,Das sind die Däter.
eltern_0252-0423,Ihr seht dann auch mal sagen.,(Applaus),Ihr seht dann auch mal sagen.
ende_0153-0086,Lissen zum Ende kommen.,Vielen Dank.,Lissen zum Ende kommen.
ende_0164-0143,Kann am Ende ein gut.,(Applaus),Kann am Ende ein gut.
ende_0178-0186,Das ist am Ende.,(Echt!,Das ist am Ende der Tat.
ende_0164-0146,"""Ich bin wunder Kasse.""""""",(Applaus),"""Ich bin wunder Kasse."""""""
ende_0194-0261,Lassin ist am Ende bedandert.,Was ist am Ende wel.,Wir ist am Ende wird am Ende wird.
ende_0196-0280,Sind wir am Ende der erst.,(Applaus),Sind wir am Ende der erst.
ende_0209-0316,Das sind Zweiten hier.,Lasste geht's?,Sie läufte Ende.
ende_0213-0340,Und am Ende Menschen.,Und nun hatten zu Menschen.,Und am Ende Menschen.
ende_0212-0336,Das haben Ende dafür so.,Sie hatte eine kleine Kamperike.,Das haben Ende dafür so.
endlich_0008-1740,Das wird jetzt ähnlich gesetzt.,(Applaus),Das wäre jetzt ähnlich gesetzt.
ende_0212-0333,Das muss am Ende des händes.,Ich muss am Ende exensensen.,Mus am Ende des Ende des Tag.
endlich_0039-1198,Das muss endlich.,Das sind nen die Glimme?,Das muss endlich an.
endlich_0017-1766,Was wäre endlich walsch?,Wie erken die Publika im Publik?,Was wäre endlich bei?
endlich_0051-0282,Essen Sie mendlich im Dier.,Das ist eine deinlich nicht.,Essen Essen auch die Endlich in die.
endlich_0078-0309,Und endlich.,(Applaus),Und endlich an.
endlich_0076-0302,Und es ehtlich schön.,(Applaus),Das ist eigentlich schlust.
endlich_0088-0324,Darum jetzt ähnliche.,Benaubisch in diesem Leben?,Wir haben jetzt endlich meine.
endlich_0057-0293,"""Genntschulwenden, endlich) Einchtig.""",(Vide Menschen bewöhntsort werden die Lö,"""Genießt ihr bauen, spauen."""
endlich_0093-0333,Und endlich ab.,Er melde Menschen nicht im Tag.,Und endlich absch.
endlich_0096-0343,Hier nunen wir die Änglich.,Das ist ungefähr im Hund.,Hier nunen wir ein Endlich.
entscheidung_0025-0132,Das ist Entscheidung.,"""Was, was echt in euch.""",Das entscheiden darunter.
entscheidung_0115-0206,Da ist diese Entscheidung?,Liemand rendiger ich nur nicht an.,Da ist diese Entscheidung.
entscheidung_0124-0218,Das Entscheidungen kleidung.,Vielen Danken die Glöslungen.,Das Entscheidungen Entscheidungen.
entscheidung_0127-0223,Ein Entscheidung entscheidung.,Ich habe die State in die tun.,Ein Entscheidung entscheidung zu.
entscheidung_0187-0299,Das ist der Entscheidung.,Was ist eine Entscheidung höher?,Was ist der Entscheidung?
entscheidung_0246-0362,Er Entscheidunges Entscheidung.,"""Ah, dartreindungen.""",Er Entscheidunge Entscheidung.
entscheidung_0131-0230,"""Jechts toktion, Welt reicht.""",Also nun die Tändeberst ein.,"""Eh ich so viel Entscheidung, Welt?"""
entscheidung_0289-0398,Doll die Entscheidung darüber.,Vielen Dank.,Dährt die Entscheidung darüber.
entscheidung_0347-0457,Jede entscheiden Sie noch.,Vielen Danke Menschen an Rot gehen.,Wie entscheidet so.
entscheidung_0351-0461,So ist es Essentiell.,(Applaus),So ist es Essentiell.
entwicklung_0006-1472,Es ist ein Entwicklung.,Das ist mein Ohle meines tun.,Es ist ein Entwicklung.
entwicklung_0022-0164,Dreide Entwicklung ist so ein bisschen.,Vielen Dank.,Beihre Menschen humm.
entwicklung_0092-0248,Eine Entwicklung.,Vielen Dank.,Eine Entwicklung an.
entwicklung_0031-0173,Was ist denn Vickelung.,Wer ist der Bruch?,Darte bewickeltwicklung.
entwicklung_0040-0185,Man wird die Entwicklung können.,Legen wir auch jeden Glot.,Ich wie die Illegen hören.
entwicklung_0118-0272,Das sind der Entwicklung.,(Applaus),Das sind der Entwicklung.
entwicklung_0161-0315,Denden Sie Entwicklung in den nächsten.,Das sind diese Leute?,Das Entwicklung in den nächsten.
entwicklung_0186-0343,Wuser geht es wirklich.,(Applaus),Wuser geht es nicht.
entwicklung_0198-0359,Warkünmern wirblick.,"""Willautuinwinkungen, oder?""","""""""Woru ung für Vickelung."""""""
entwicklung_0198-0372,Die Entwicklung sehen.,Sodernder.,Die Entwicklung sehen.
ergebnis_0122-0196,Und das Ergebnisse.,Was gibt es anders zu erzählen.,Und das Ergebnisse soll.
ergebnis_0086-0173,Das ist Ergebnisse.,"""Nieren Sie sich im Bodiert, das lebod",Das ist Ergebnisse aus.
ergebnis_0131-0201,Diesem Ergebnis.,Vielen Dank.,Diesem Ergebnis.
ergebnis_0144-0206,Wolle also Ergebnisse an?,Vielen Danke ist hocher.,Weiter als Ergebnisse Ahnung.
ergebnis_0163-0235,Aus ist ausgelohnet.,Hach ruhig) 'e ich gerübert.,Das ist ausgelohnet.
ergebnis_0189-0264,Das Ergebnisse.,Was ist der erlebte?,Das Ergebnisse Ergebnisse.
ergebnis_0182-0254,(Englisch) Ist kompliziert nicht alle.,Wir sind noch einige großende Runde oder einigen.,Das sind die Schade.
ergebnis_0246-0312,Er Ergebnis ist.,Das ist ungefähr im Heben?,Ergebnis ist.
ergebnis_0200-0277,Das Ergebnisse Ergebnisse.,"""Was ihr nicht ernehmer, leben kann.""",Das Ergebnisse Ergebnisse erreichen.
ergebnis_0226-0300,Ihr könnt es Ergebnis gesehen.,(Applaus),Ihr einfach als Ergebnis gesehen.
erhalten_0015-1094,Ich habe traut erhalten.,Vielen Dank.,Ich habe traut erhalten.
erhalten_0026-0125,D. gewerbt es nicht grit.,Vielen Dank.,Ich bin gucken gehalten.
erhalten_0031-0128,Und nicht glaube es hier.,Kreite nicht an der Hände hochen.,Und nicht aus so0.
erhalten_0036-0131,Und daswegen.,Und nicht sind diesen Clesen zum.,Und deswegen.
erhalten_0067-0177,Das sind der Kombanal.,Das sind die Oma.,Das sind der kommunen.
erhalten_0049-0150,Es ist groß alt.,Der Wohr hat hoch geworden lecht wo Flüsung.,Es ist groß alten Zour-Sähr.
erhalten_0079-0720,Der ersten erste ist so.,(Applaus),Jetzt erhalten erste Leute.
erhalten_0079-0721,Nehmen wir aller altint.,(Applaus),Nehmen wir aller altint.
erhalten_0081-0193,"Ja, muss sagen wirklich sagen.",(Applaus),"Ja, muss sagen wirklich sagen."
erhalten_0095-0206,Das erhaltens in Verhalten.,(Applaus),Das erhalten und im Gehalten.
erinnern_0112-0216,Hier frücung.,Lasser geht's loskommen.,Hier früßler Zies.
erinnern_0112-0218,"""Ich bin der Runderin.""""""",Was ist die Glehron?,Vielen Danke daran nach einer tran.
erinnern_0131-0243,Das ist ungefähr im Grehrn.,(Lachen),(Lachen) Annachen wir.
erinnern_0162-0265,Das sind tranileieren.,Wun.,Und tran erinan.
erinnern_0141-0249,Das ist inners in der USianen.,Vielen Dank.,Das ist ungefähr.
erinnern_0133-0246,"""Der ist keine Kale, das ist keine Musik.""",(Applaus),Diese Kalt hier die Sekart.
erinnern_0131-0244,"""Ich the daran erinnern.""""""",(Applaus) (Musik),"""Ich the daran erken, änderen."""
erinnern_0363-0423,Oder maganisch),Sie machen alle drei?,Oder allein?
erinnern_0318-0379,"""Ich Zahlarisch ihn, der da sieht.""","""Wie, kriegt ihr hin.""",Was ist der Nan hat er ihnen einander.
erinnern_0331-0392,Nach mal eine diskutiert.,Hachen Sie an der Lehr durch Roten.,Dafan eine Energie diskutiert.
ernst_0014-1006,Was war nicht nur ernehme?,Er war der Kol von uns lechtigen.,Das war nicht nur erretzt nehmen.
ernst_0064-0156,Was machen auch nicht ernutzte.,"""Kanzt ihr ein ändern wieder sein, gren kannst",Und nicht nune ich nicht nstern.
ernst_0083-0166,Ich mache es Leben.,Vielen Dank.,Ich zanzt uns?
ernst_0116-0201,Der ganz gange an einem Ze.,Das ist denn nicht richtig.,Er sind 1 ein Lebensgefahrsiert.
ernst_0179-0690,Auch ich eine ernst von den Stuhlen.,Das ist der Min.,"Sie ist Eltern eine ernst, wenn sie."
ernst_0228-0296,Die Zeit wie Ernglisch.,(Applaus) Hichel.,Wie heißt wie ernst.
ernst_0240-0303,Und wenn wir es nicht.,Vielen Dank.,Wenn wir ersten?
ernst_0281-0341,Das erst magisch.,(Applaus),Das ist erst machen.
erreichen_0002-0987,Das ist der Lange.,Vielen Dank.,Das ist der Lange.
erreichen_0014-1006,Ist zu erreichen?,Das ist ungefährs...,Ihr reichst du erreichen.
ernst_0242-0304,Wirklich: Ernst du für.,Das ist ungefährs durch die grüne hinseitung.,Wirklich Ernst du.
ernst_0262-0324,Währst dudimmen Äglich im März.,(Applaus),Würde tranglich im Ängst.
erreichen_0040-0138,Das zu erreichen.,Das ist keine Rede nicht belehrnet.,Das reichte die Gleichen.
erreichen_0112-0207,Die Stadt zu erreichen.,Vielen Dank.,Statz zu erreichen.
erreichen_0046-0145,Ihr könnt wir bereit nicht erreichen.,Woher von Ähnen die Zwischen lassen?,Wir wollen wir reichten.
erreichen_0084-0179,"""Ich theute nicht gewinnen können, aber guck",Welte Runde schön.,"""Ich gewinn können, aber die Dählen können."""
erreichen_0114-0208,Was reichen Sie erreichen?,(Applaus),Was reich ihr erreichen?
erreichen_0134-0230,Das guckt erstmal.,Also nun die Glocken an diesem Kopf.,Schauz sie erreichen nicht mehr erreichen.
erreichen_0152-0244,Voll verfolgen.,Lassen Sie Work.,Oder verfolgen.
erreichen_0167-0258,Menschen erreichen niemanden.,Vielen Dank.,Menschen erreichen.
ersten_0027-0196,Sitzen sitzen.,Vielen Dank.,Setzen zitzung.
ersten_0030-0203,Eine ersten lesstten Lesen.,Das ist änderdlich endlich holschlich?,Eine ersten les.
ersten_0057-0238,Diesmal erste Mal.,"""Das kann sie mal gehänfen, lasse sie vor bringen",Diesmal erstmal.
ersten_0065-0241,Der ver den ersten Satz.,(Applaus),Die Nat den natürlich den ersten Satz.
ersten_0046-0223,Die zwei oder den ersten Füngreis.,"""Reht es ein kleinen Punkt, die schönen Tag zum Bonü",Die zwei oder den ersten Fünfläch.
ersten_0102-0326,Die ersten Arbeit.,Was sitzen auf dem Herz dabei arbeiten?,Was kann man auf dem ersten Arbeit.
ersten_0146-0397,Das sind Werbissen haben den erst.,(Applaus),Das sind einfach nicht so haben.
ersten_0108-0336,Aus der ersten Kreis.,"""Wer, echte Menschen ändert.""",Aus der ersten Rei.
ersten_0148-0400,Eine Me ersten Portal.,Es ist ganz gut.,Eine Ästten Partal.
erste_0026-0171,"""Auch, (M!""",(Applaus),(S.
ersten_0161-0422,Danke aus den ersten 2 Million.,(Applaus),Dank ich aus den ersten 2 Million.
erste_0026-0173,Mönne aus einer große Runden.,Klandere Menschen nicht mehr hoch.,Ich möchte aus einer großen Sunde.
erste_0069-0211,Wie kriegen sie Schritt.,(Applaus),So kriegen sie Schritt.
erste_0099-0906,(Applaus),(Applaus),(Applaus)
erste_0056-0205,Ist der erste erste Folsch.,Der Dinge ist die Wöhlen wollel.,Ist der erste folschen.
erste_0076-0222,"""(En, geschieht.""",Es ist nunge Döhnlich.,Wir nune gewesten.
erste_0176-0335,Die erste.,(Applaus),Die erste.
erste_0197-0357,Wir sind alles erste Bausch.,Ern Kließen Sie einen nächste Bausch.,Wir sind alles erste Bauscht.
erst_0138-0003,Leld erst recht.,Das ist ganz gut.,Er hat recht.
erst_0001-1876,Das ist ganzmal.,(Echter) Eine schön!,Das ist erstmal.
erste_0222-0394,Das ist erste Umse.,Das sind um das?,Er mitte um Erster Umteils.
erst_0147-0021,Die erste erste im Jahr.,Was meinen Dank.,Die erst im erstem Jahr.
erste_0212-0379,Das ist der erste Punkt.,"""Ah, Gelbrüche Book, Lote",Das erste Punkt ist.
erst_0010-1905,Jetzt ist mal gedanktrüber?,Was macht man nicht die Hüb.,Jetzt mag Gedanken Gedanken.
erst_0179-1167,Das ist erste zu.,(Applaus),Das erste erste.
erst_0012-1907,Der erstehlen erst von ersten.,(Applaus) (Musik),Der schöne Schulen erst nuns.
erst_0168-0058,Müssen erste erst einmal.,Bitte Lunde ist nicht mehr an.,Müssen erst einmal einmal.
erst_0183-0087,Mahr im Marmal zu z.,Was mach ihr die Glößen.,Warum maginal zu sein.
erst_0264-0279,Sie singen es nicht erst.,(Applaus),Sie geht nicht das.
etwas_0035-0899,Das etwas etwas gar etwas.,(Applaus),Also mach etwas etwas.
